"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"905498192619425792","905400185953636352","16497594","2017-09-06 18:29:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@codecentric @ShirinGlander This is a very interesting article @ShirinGlander . Thanks for sharing.","","","",""
"889939255333535744","","","2017-07-25 20:03:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @rioferdy5: Yesssss my man @CH14_ ... welcome back to the @premierleague 🙌🏽⚒ #Goals https://t.co/ekoTgwGSJL","889792398875914242","155927976","2017-07-25 10:20:14 +0000","https://twitter.com/westhamutd/status/889789438997528576,https://twitter.com/westhamutd/status/889789438997528576"
"868192268791889920","","","2017-05-26 19:49:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MasonCrossBooks: My daughter actually submitted this feedback at school. Not sure if I should ground her or buy her ice cream... https:…","867687194718351360","1381485247","2017-05-25 10:22:02 +0000","https://twitter.com/MasonCrossBooks/status/867687194718351360/photo/1"
"847118331207303169","847107837830549510","558797310","2017-03-29 16:08:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ManUtd @BSchweinsteiger @ChicagoFire Best of luck bastian.","","","",""
"821038590322831361","","","2017-01-16 16:57:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Get your free grid of the #PersianGulf, critical to the world economy &amp; understanding #oiltransport hazards. https://t.c…","818870082600398855","351972911","2017-01-10 17:20:16 +0000","http://www.efdc-explorer.com/resources/coastal-grids/persian-gulf-middle-east.html,https://twitter.com/EFDC_Explorer/status/818870082600398855/photo/1"
"821038407660863490","","","2017-01-16 16:56:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Panel discussion at @Battelle #sediments17 conference: Advances in Sediment Remediation https://t.co/NnEHGKko4s","818931410828480512","351972911","2017-01-10 21:23:58 +0000","https://twitter.com/EFDC_Explorer/status/818931410828480512/photo/1,https://twitter.com/EFDC_Explorer/status/818931410828480512/photo/1"
"821038019457126400","","","2017-01-16 16:54:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Battelle: Closing session at @Battelle #sediments17 conference https://t.co/qoX1rm2hA7","819661110341206017","74748331","2017-01-12 21:43:31 +0000","https://twitter.com/Battelle/status/819661110341206017/photo/1,https://twitter.com/Battelle/status/819661110341206017/photo/1"
"821037986443706369","","","2017-01-16 16:54:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Improve efficiency of #hydrodynamic &amp; #waterquality modeling projects. Get a free trial of EFDC_Explorer8.2 https://t.co…","821024469942734848","351972911","2017-01-16 16:01:02 +0000","http://www.efdc-explorer.com/efdc-explorer,https://twitter.com/EFDC_Explorer/status/821024469942734848/photo/1"
"798282715384541187","","","2016-11-14 21:53:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: How a Billion Oysters Are Set to Change New York’s Harbor https://t.co/Lx95mtfQjJ","798269479365079040","351972911","2016-11-14 21:00:49 +0000","http://observer.com/2016/07/how-a-billion-oysters-are-set-to-change-new-yorks-harbor/#.WCnvm1AHvd0.twitter,http://observer.com/2016/07/how-a-billion-oysters-are-set-to-change-new-yorks-harbor/#.WCnvm1AHvd0.twitter"
"771811207942549505","","","2016-09-02 20:45:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hot $1 Deals in Exchange for Your Honest Review - Amazing Deals Group! https://t.co/91hHU4zkNu via @sharethis","","","","https://shar.es/1wwDg4"
"760699251034886144","","","2016-08-03 04:50:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Great offer from ringplus. Eligibility Requirement: 250 LTE MB Bonus: Paste the link to your positive forum review or Twitter post.","","","",""
